@relation creditRating
@attribute Time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Amount numeric
@attribute Class {0,1}
@data
7672,0.7027099,2.42643E+14,-5.23451E+14,4.41666E+14,-2.17081E+14,-2.66755E+14,-3.87809E+14,0.911337122,-0.166199039,-5.00925E+14,4.67573E+14,-8.16719E+14,0.638559282,-6.76333E+14,1.29686E+14,-3.81176E+14,-3.75413E+14,-1.04918E+14,1.5542E+14,0.422743129,0.551179689,-0.009802357,0.72169823,0.473245751,-1.9593E+13,0.31947554,0.600484916,0.129305225,1,1
7740,1.02387E+14,2.00149E+14,-4.76975E+14,3.81919E+14,-1.27175E+13,-1.73466E+13,-3.05925E+14,0.889804792,0.415382113,-3.95581E+14,3.57205E+14,-7.18645E+14,0.147242341,-5.2493E+14,1.67833E+14,-2.64147E+14,-1.31206E+14,-0.391716051,1.11826E+14,0.204137684,0.343282649,-0.054195664,0.709653952,-0.372215867,-2.03207E+14,0.366777602,0.395170669,0.020205539,1,1
7891,-1.58551E+14,3.26158E+14,-4.13742E+14,2.3571E+14,-1.40504E+14,-1.87944E+14,-3.51369E+14,1.51561E+14,-1.20717E+14,-6.23456E+14,5.45075E+14,-7.33371E+14,1.36119E+14,-6.60807E+14,-0.481069425,-2.60248E+14,-4.83511E+14,-0.553026089,0.351948943,0.315957259,0.501543149,-0.546868812,-0.076583636,-0.425550367,0.123644186,0.321984539,0.264028161,0.13281672,1,1
8090,-1.78323E+14,3.40279E+14,-3.82274E+14,2.62537E+14,-1.97642E+14,-2.73169E+14,-3.43056E+14,1.4132E+14,-0.776941495,-6.19988E+14,4.36671E+14,-8.24326E+14,0.345761165,-6.59055E+14,0.265576096,-3.02845E+14,-4.21449E+14,-1.21361E+14,-0.265421595,0.364089115,0.454031932,-0.577525824,0.045966538,0.461700018,0.044146161,0.305704434,0.530980986,0.243745598,1,1
8169,0.857321004,4.09391E+14,-7.42389E+14,7.38024E+14,0.973366023,-2.73076E+14,-1.4965E+14,0.543015173,-2.35119E+14,-3.94424E+14,6.35508E+14,-7.30975E+14,0.748450551,-9.05799E+14,-0.648944909,-1.07312E+14,1.5245E+14,1.83136E+14,-0.089724411,0.48330265,0.375026285,0.145399853,0.240603265,-0.234649223,-1.00488E+14,0.435831916,0.618323805,0.148468944,1,1
8408,-1.81328E+14,4.91785E+14,-5.92613E+14,5.7015E+14,1.20439E+14,-3.03514E+14,-1.7134E+14,0.561257391,-3.79635E+14,-7.45484E+14,7.38806E+14,-1.04752E+14,-0.379314527,-1.17367E+14,-2.08699E+14,-2.44235E+14,-3.53552E+14,0.130360307,-2.07145E+14,0.576656033,0.615641835,-0.406427275,-0.737018076,-0.279641772,1.10677E+13,0.323885478,0.894766672,0.5695186,1,1
8415,-0.25147096,4.31352E+14,-6.89144E+14,6.7968E+14,0.616296505,-2.96633E+14,-2.43665E+14,0.489327899,-3.37164E+14,-6.81081E+14,7.62009E+14,-1.02853E+14,-0.342444334,-1.15435E+14,-1.33499E+13,-2.68928E+14,-3.20438E+14,0.086521896,-1.3145E+14,0.632709964,0.536892074,-0.546126024,-0.605239548,-0.26374346,1.53992E+14,0.523573697,0.891024688,0.572740667,1,1
8451,0.31459659,2.66067E+14,-5.92004E+14,4.5225E+14,-2.31503E+13,-2.27835E+14,-4.68405E+14,1.20227E+14,-0.694695511,-5.52628E+14,6.66244E+14,-8.52546E+14,0.742745447,-7.67867E+14,0.593070459,-4.47814E+14,-5.84427E+14,-1.10273E+13,2.17739E+14,0.562705643,0.743314023,0.064038356,0.677841675,0.083007823,-1.91103E+14,0.322188398,0.620866539,0.185030355,1,1
8528,0.447395553,2.48195E+14,-5.66081E+14,4.45592E+13,-2.44378E+13,-2.18504E+14,-4.71614E+14,1.2498E+14,-0.718326067,-5.39033E+13,6.45419E+14,-8.48535E+14,0.635281409,-7.0199E+14,0.539814071,-4.64986E+13,-6.28836E+13,-1.33931E+14,2.26298E+14,0.549612971,0.75605255,0.140167769,0.665411101,0.131463792,-1.90822E+14,0.334807599,0.748534285,0.175413794,1,1
8614,-2.16993E+14,3.63965E+13,-4.5085E+14,2.73067E+14,-2.12269E+14,-2.34102E+14,-4.23525E+14,1.70354E+14,-1.30528E+14,-6.71672E+13,6.35361E+14,-8.60165E+14,0.449930038,-7.50617E+14,-0.438081782,-3.69452E+14,-6.30475E+14,-1.26759E+14,0.35798703,0.500779054,0.645103276,-0.503529449,-0.000522822,0.071695779,0.092007433,0.308497932,0.552590915,0.298954479,1,1
8757,-1.86376E+14,3.44264E+14,-4.46826E+14,2.80534E+14,-2.11841E+13,-2.33228E+14,-4.26124E+13,1.70168E+14,-1.4394E+14,-6.99991E+14,6.31621E+14,-8.67082E+14,0.316023992,-7.41771E+14,-0.436537471,-3.6528E+14,-6.29315E+14,-1.24325E+14,0.364810482,0.360924004,0.667926572,-0.516242362,-0.012217812,0.070613703,0.058504467,0.30488284,0.418012467,0.208858278,1,1
8808,-4.61722E+14,1.69569E+14,-3.11437E+14,4.3282E+14,-1.87326E+14,-0.989908136,-4.57726E+14,0.472216158,0.472016953,-5.57602E+14,4.80232E+14,-1.08332E+13,0.104303876,-9.40542E+14,-0.807477869,-7.55234E+14,-9.80256E+13,-4.12063E+14,1.74051E+14,-0.039045934,0.481829697,0.146023056,0.117038528,-0.217564599,-0.138776044,-0.424452881,-1.00204E+14,0.890780288,1.1,1
8878,-2.6618E+13,5.85639E+13,-7.65362E+14,6.37974E+14,-0.060712119,-3.13155E+14,-3.10357E+14,1.77849E+14,-3.83115E+14,-7.1916E+14,7.10299E+14,-9.9287E+14,-0.067498378,-1.09242E+13,-1.69791E+14,-2.37942E+14,-2.77511E+14,0.273798971,-1.38219E+14,0.39909686,0.73477495,-0.435901182,-0.384765904,-0.286015664,1.00793E+14,0.413195532,0.280284157,0.303936551,1,1
8886,-2.53585E+14,5.79364E+14,-7.61846E+14,6.39583E+14,-0.065210105,-3.13637E+14,-3.10456E+14,1.82323E+14,-3.87866E+14,-7.2978E+14,7.07167E+14,-1.0001E+13,-0.207934541,-1.08607E+14,-1.69083E+14,-2.36086E+14,-2.7601E+14,0.298103416,-1.38556E+14,0.408704184,0.716719907,-0.448059938,-0.402406879,-0.288835223,1.01175E+14,0.425964621,0.413139556,0.308204657,1,1
9064,-3.49911E+14,0.258555161,-4.48956E+14,4.85389E+14,-6.97452E+14,3.62838E+14,5.43127E+14,-1.94673E+14,-0.775680093,-1.98777E+13,4.6904E+14,-6.99804E+13,1.45401E+14,-3.73802E+14,0.317742063,-2.01354E+14,-5.13614E+13,-1.18382E+14,1.66339E+14,-3.04263E+14,-1.05237E+14,0.204816874,-2.11901E+14,0.170278608,-0.393844118,0.296367194,1.98591E+14,-0.900451638,1809.68,1
11080,-2.12549E+14,5.97356E+14,-1.10347E+14,9.00715E+14,-1.68945E+14,-2.85442E+14,-7.81044E+14,2.03087E+14,-5.90283E+14,-1.28409E+14,1.20189E+14,-1.77691E+14,-0.431035658,-1.92143E+14,-0.962464575,-1.02666E+14,-1.55034E+14,-5.49493E+14,-0.410480977,1.49377E+14,1.64652E+13,-0.278484511,-0.664841294,-1.16456E+14,1.7018E+14,0.690805615,2.11975E+14,1.10893E+14,1,1
11092,0.378274504,3.9148E+14,-5.72687E+14,6.09414E+14,1.69888E+14,-2.80731E+13,-0.591118213,-0.123495593,-2.53071E+14,-5.15309E+14,4.65409E+14,-7.83954E+14,1.37182E+14,-9.63469E+14,-0.739596856,-0.663203946,0.891934541,0.978675639,-2.00548E+14,0.440439441,0.149895683,-0.601967246,-0.613724336,-0.403113688,1.56845E+12,0.521883934,0.52793775,0.411910406,1,1
11131,-1.42662E+14,4.14199E+14,-9.8041E+14,6.66627E+14,-4.74953E+14,-2.07313E+14,-1.00899E+14,2.79135E+14,-3.24952E+13,-1.14205E+14,1.0853E+14,-1.59692E+13,0.546690085,-1.46907E+13,0.9123374,-1.22272E+14,-1.85874E+14,-6.92076E+14,3.167E+14,1.41068E+14,1.86568E+14,0.407809282,0.605809354,-0.769348118,-1.74634E+13,0.502039517,1.97726E+13,0.711606531,1,1
11629,-3.89119E+14,7.09892E+14,-1.14265E+14,8.60756E+14,-2.06571E+14,-2.98529E+14,-8.13859E+14,2.97393E+14,-6.27279E+14,-1.31934E+14,1.16197E+14,-1.76316E+14,-0.35519439,-1.88221E+14,-1.28313E+13,-1.00311E+14,-1.5227E+14,-5.32201E+14,-0.501750653,1.38262E+14,1.75709E+14,-0.189709153,-0.508629244,-1.18931E+14,1.18854E+14,0.605241886,1.88153E+13,0.875260407,1,1
11635,0.919136507,4.19963E+14,-7.53561E+14,7.42694E+14,1.11822E+14,-2.88672E+14,-1.34104E+14,0.363933268,-2.20322E+14,-4.13784E+14,4.57011E+14,-7.62917E+14,1.73392E+14,-9.44037E+14,-0.02335335,-1.23396E+14,1.63201E+14,1.31573E+13,-0.287188855,0.535434663,0.316093599,0.055179227,0.21069215,-0.417917881,-0.911188276,0.466523925,0.62739327,0.157851283,1,1
12093,-4.6968E+14,2.69387E+14,-4.47513E+14,5.46768E+13,-1.55676E+14,-1.54942E+14,-4.10421E+14,0.553934075,-1.49847E+14,-4.59495E+14,5.27551E+14,-1.1349E+14,0.374549235,-8.13869E+14,0.548570894,-6.65359E+14,-1.02468E+14,-4.19107E+14,0.991486122,-0.158970549,0.573898081,-0.080162775,0.318407817,-0.245862203,0.338238432,0.032270621,-1.50846E+14,0.608074683,0,1
12095,-4.72771E+14,3.04447E+14,-5.59835E+14,5.92819E+14,-2.19077E+14,-1.52932E+14,-4.48742E+14,0.916391814,-1.30701E+13,-4.13889E+14,5.14941E+14,-1.1124E+14,0.543067766,-7.84094E+14,0.743633945,-6.77707E+14,-9.93177E+14,-4.09302E+14,1.50492E+14,-0.207759445,0.650988236,0.254983289,0.628843469,-0.238128454,-0.671332332,-0.033590063,-1.33178E+14,0.70569759,30.39,1
12393,-4.064E+14,3.10093E+14,-1.1885E+14,3.26463E+14,-1.90356E+14,0.320350587,-0.954940039,-3.27753E+14,2.82083E+14,1.01511E+14,3.18719E+14,-7.00433E+14,0.872710605,-6.22061E+14,-0.90444463,-3.07509E+14,-5.04474E+14,-1.71808E+14,-0.662462068,-0.531897693,1.68867E+14,-0.078844698,0.193730927,0.479495954,-0.506603057,-0.409862744,-3.03627E+14,-0.630605199,179.66,1
12597,-2.58962E+14,7.01671E+14,-1.37054E+14,1.03432E+14,-2.95446E+14,-3.05512E+14,-9.30129E+13,3.34957E+14,-5.65421E+14,-1.18539E+13,1.16692E+14,-1.72287E+14,0.055571566,-1.84938E+14,-0.304172114,-1.06295E+14,-1.44412E+14,-5.10549E+14,1.27023E+13,1.48886E+14,1.88774E+14,0.333998185,0.287659041,-1.18641E+14,-0.69027267,0.631703772,1.93422E+14,0.789687172,1,1
13126,-2.88004E+14,5.22544E+14,-1.10633E+14,6.68995E+14,-5.75992E+13,-2.24403E+14,-1.12E+14,4.01472E+14,-3.4293E+14,-1.15619E+14,1.04468E+13,-1.54791E+14,0.734441608,-1.38838E+14,0.821439545,-1.19115E+13,-1.8103E+14,-6.83783E+14,3.12693E+14,1.19144E+14,2.00288E+14,0.351102065,0.79525514,-0.778379381,-1.64682E+14,0.487538823,1.42771E+14,0.583172486,1,1
13323,-5.45436E+14,8.28742E+14,-1.27528E+14,8.59434E+14,-3.106E+14,-3.17995E+14,-9.25279E+14,4.24506E+14,-6.3298E+14,-1.31367E+14,1.12285E+13,-1.71313E+14,-0.169401057,-1.805E+14,-1.36624E+14,-9.72357E+13,-1.47449E+14,-5.2473E+14,-0.574675144,1.30586E+14,1.84616E+14,-0.267171794,-0.31080397,-1.20169E+14,1.35218E+14,0.608424596,1.57471E+14,0.808725205,1,1
14073,-4.15301E+14,8.2048E+14,-1.50317E+14,1.03301E+13,-3.99443E+14,-3.25001E+14,-1.04157E+14,4.6208E+14,-5.71125E+14,-1.17972E+14,1.12779E+14,-1.67283E+14,0.241367683,-1.77216E+14,-0.387299923,-1.0322E+14,-1.39591E+14,-5.03071E+14,1.19727E+14,1.41262E+14,1.97699E+14,0.256510487,0.485908107,-1.19882E+14,-0.526567395,0.634873502,1.62721E+14,0.723235069,1,1
14152,-4.71053E+14,8.63621E+14,-1.54962E+14,1.03133E+14,-4.35134E+14,-3.32269E+14,-1.07884E+14,5.06038E+14,-5.68931E+14,-1.17122E+14,1.11525E+14,-1.65582E+14,0.302644522,-1.74759E+14,-0.412393267,-1.02222E+13,-1.37991E+14,-5.00859E+14,1.16203E+14,1.43424E+14,1.99055E+13,0.223785003,0.554408429,-1.20404E+14,-0.450684595,0.641836059,1.60596E+14,0.721643615,1,1
15817,-4.64189E+14,2.90209E+14,-1.57294E+14,2.5073E+12,-0.871782564,-1.0409E+13,-1.5939E+14,-3.25491E+14,1.90896E+14,1.07742E+14,3.3385E+14,-6.54261E+14,1.09954E+14,-3.26648E+14,1.01473E+14,-4.84238E+14,-5.26988E+12,-2.34467E+14,1.95922E+14,-0.46567922,1.9636E+14,-0.217413916,-0.549339956,0.645545202,-0.354557819,-0.611763845,-3.90808E+14,-0.671248265,11.39,1
17187,1.08837E+14,0.898474024,0.394684329,3.17026E+14,0.175738797,-0.221980885,-0.022988728,-0.010873537,0.860043617,-0.592472935,1.07273E+14,-2.54756E+14,1.23595E+14,-0.330305804,-1.02235E+14,0.335642173,2.299E+14,-0.162096209,-1.53271E+14,-0.217358192,-0.423553904,-0.800852285,0.077614455,0.167608453,0.350181817,-0.118940929,0.012947766,0.054254272,3.79,1
17220,1.18978E+14,0.942289402,0.082334145,3.02405E+14,0.412406009,-0.214414558,0.053557839,-0.110353351,0.883797757,-0.554223901,0.154921009,-2.77676E+14,1.64121E+13,-0.456076957,-1.24041E+14,0.857322736,1.70702E+14,0.526349196,-0.86510461,-0.143434645,-0.502635558,-1.0474E+14,-0.056752024,-0.340688405,0.541235201,-0.098300287,-0.00304112,0.04981902,3.79,1
17230,-0.469326705,1.11145E+14,2.041E+14,1.7316E+14,0.135146842,-0.093625175,0.26615517,0.082988236,0.580255403,-0.164562675,0.50037637,-3.02176E+13,0.92421326,1.50079E+14,-0.400282644,0.706047713,0.115114265,-0.046795879,-2.54852E+14,-0.358708666,0.159387389,0.592669569,-0.053596184,0.320747502,-0.369120754,-0.136604685,-0.100845187,0.039347148,3.93,1
17520,-5.26805E+14,9.06761E+14,-1.59607E+14,1.02966E+14,-4.70824E+14,-3.39537E+14,-1.11611E+14,5.49996E+14,-5.66738E+14,-1.16272E+14,1.10271E+14,-1.63881E+14,0.363921487,-1.72302E+13,-0.437487559,-1.01224E+14,-1.36392E+14,-4.98646E+14,1.12678E+14,1.45588E+11,2.00411E+14,0.191058399,0.62292767,-1.20926E+14,-0.374798863,0.648798037,1.5847E+14,0.72005587,1,1
17838,-5.18788E+14,6.96771E+14,-1.35109E+13,8.6179E+14,-1.12144E+14,0.672247839,-9.46253E+14,5.3287E+14,-4.89701E+14,-1.17868E+14,9.36908E+14,-1.50942E+14,1.25638E+14,-1.18522E+14,0.274429814,-1.06882E+14,-1.83888E+14,-6.89884E+14,2.38281E+14,-0.623737292,2.08608E+14,0.760190241,0.716805786,-0.64674343,-1.61704E+14,0.17234689,0.626646781,-0.169726031,766.36,1
18088,-1.2224E+14,3.85415E+14,-1.24668E+14,9.64831E+14,-2.72696E+14,-4.44561E+14,-2.19228E+14,0.320792274,-4.43316E+14,-1.12014E+14,9.3288E+14,-1.31049E+14,0.888480788,-1.01402E+13,0.713465393,-1.00987E+14,-1.75066E+14,-8.06121E+14,1.60687E+14,-2.14718E+14,-1.15983E+13,-1.50412E+14,-1.92543E+14,0.544866726,-4.78161E+14,-0.007772281,3.05236E+14,-0.775035651,1218.89,1
18399,-1.44744E+14,6.50318E+14,-1.77126E+14,1.12704E+14,-4.15014E+14,-3.3721E+13,-1.65358E+14,-1.44395E+13,-6.81527E+14,-1.36705E+14,1.05453E+14,-1.50227E+14,0.171633085,-1.50664E+14,-0.25957594,-8.66874E+13,-1.28041E+14,-5.11662E+14,0.579200358,1.10125E+14,-2.47596E+14,0.342390706,-3.56451E+14,-0.81814019,0.153407683,0.755079461,2.70657E+14,-0.992916047,1,1
18675,-1.23396E+14,4.48827E+14,-1.65871E+14,1.01073E+14,-1.04202E+14,0.130669812,-1.56003E+14,-1.1577E+14,-5.30463E+13,-1.29389E+14,8.80568E+14,-1.35561E+14,1.16546E+14,-9.80988E+14,0.369987279,-9.50521E+14,-1.7542E+14,-6.79264E+14,2.06938E+14,-0.085501463,-2.08961E+13,1.74531E+14,1.37682E+14,-0.554271418,-1.61074E+14,0.153725445,1.21248E+13,-1.86929E+14,188.78,1
18690,-1.53988E+14,7.47232E+14,-1.90269E+14,1.11655E+13,-6.89386E+14,-2.12094E+14,-1.49133E+14,-0.721214094,-7.1751E+13,-1.41668E+13,1.02778E+14,-1.49854E+14,0.345179234,-1.46664E+14,-0.346352542,-8.33324E+14,-1.26026E+14,-4.87668E+14,0.604625911,1.1115E+14,-2.44488E+11,0.727495341,-0.345078151,-0.981748551,0.995271346,0.816761718,2.26294E+14,-1.17806E+14,1,1
19762,-1.41792E+14,7.42137E+14,-2.14058E+13,1.19275E+13,-7.97428E+14,-2.20271E+14,-1.54716E+14,-0.35659491,-6.38012E+14,-1.33483E+14,1.01876E+14,-1.4564E+14,0.593759358,-1.44916E+14,-0.281392504,-8.26413E+13,-1.24398E+14,-4.83708E+14,0.753149848,1.00276E+14,-2.36684E+14,1.13096E+14,0.991153238,-1.03313E+14,-0.327179345,0.634692904,2.1719E+14,-1.39529E+14,1,1
20011,-1.47246E+14,7.87516E+14,-2.18723E+14,1.19062E+14,-8.34873E+14,-2.26285E+14,-1.58334E+14,0.077873674,-6.35683E+14,-1.32617E+14,1.00638E+14,-1.43948E+14,0.654888723,-1.42483E+14,-0.305360761,-8.16163E+14,-1.2281E+14,-4.81859E+14,0.719787682,0.996468756,-2.36234E+14,1.09956E+14,1.0372E+14,-1.03636E+14,-0.254776514,0.642343201,2.16113E+14,-1.40128E+14,1,1
20332,-1.52714E+14,8.32658E+14,-2.23386E+14,1.18853E+14,-8.72133E+14,-2.32431E+14,-1.61964E+14,0.51288182,-6.33369E+14,-1.31752E+13,9.93982E+14,-1.42255E+14,0.716033665,-1.40048E+14,-0.329447848,-8.05942E+13,-1.2122E+14,-4.79971E+14,0.686227164,0.993121017,-2.3569E+13,1.06802E+14,1.08562E+14,-1.0398E+14,-0.182006136,0.649920861,2.14925E+14,-1.40681E+14,1,1
20451,-1.58192E+14,8.776E+13,-2.28047E+14,1.18649E+14,-9.09236E+14,-2.38689E+14,-1.65604E+14,0.948348595,-6.31066E+14,-1.30889E+14,9.8157E+14,-1.40561E+14,0.777191846,-1.3761E+14,-0.35363594,-7.95745E+14,-1.1963E+14,-4.78051E+13,0.652498045,0.992278949,-2.35063E+14,1.03636E+14,1.13605E+14,-1.04341E+13,-0.108923343,0.657436778,2.13642E+14,-1.41195E+14,1,1
20931,-1.63679E+14,9.22369E+14,-2.32706E+14,1.18448E+14,-9.46204E+14,-2.45044E+14,-1.69252E+14,1.38421E+14,-6.28774E+14,-1.30027E+14,9.69146E+14,-1.38866E+14,0.838361376,-1.35171E+14,-0.377910607,-7.85568E+14,-1.18038E+14,-4.76103E+14,0.618624413,0.993584599,-2.34367E+14,1.0046E+14,1.18821E+14,-1.04718E+14,-0.035572766,0.664899774,2.1228E+14,-1.41674E+14,1,1
21046,-1.69175E+14,9.6699E+14,-2.37364E+14,1.1825E+14,-9.83055E+14,-2.51483E+14,-1.72907E+14,1.82041E+13,-6.2649E+14,-1.29166E+14,9.56711E+14,-1.37171E+14,0.899540706,-1.3273E+14,-0.402260044,-7.75409E+14,-1.16446E+14,-4.7413E+14,0.584625973,0.996745095,-2.33611E+14,0.972754726,1.24187E+14,-1.05109E+14,0.03800908,0.672317065,2.10847E+14,-1.42124E+14,1,1
21419,-1.74677E+14,1.01148E+14,-2.42021E+14,1.18055E+14,-1.0198E+14,-2.57994E+13,-1.76568E+14,2.2569E+14,-6.24215E+14,-1.28307E+14,9.44267E+14,-1.35475E+14,0.960728558,-1.30287E+14,-0.426674499,-7.65266E+14,-1.14853E+14,-4.72137E+14,0.550519004,1.00152E+14,-2.32802E+14,0.940830319,1.29682E+14,-1.0551E+14,0.111792028,0.679694612,2.09354E+14,-1.42549E+14,1,1
21662,-1.80186E+14,1.05586E+14,-2.46677E+14,1.17862E+14,-1.05647E+13,-2.64568E+14,-1.80235E+12,2.69366E+14,-6.21946E+14,-1.27448E+14,9.31814E+14,-1.33779E+14,1.02192E+14,-1.27843E+14,-0.451145843,-7.55136E+14,-1.1326E+14,-4.70125E+14,0.516317073,1.0077E+14,-2.31948E+14,0.908838783,1.3529E+14,-1.05922E+14,0.185750942,0.687037384,2.07808E+14,-1.42952E+14,1,1
25095,1.1924E+14,1.33897E+14,-0.678876187,3.12367E+13,0.643244864,-1.18432E+14,0.397585526,-0.253498538,0.411134977,-0.859862302,1.12406E+12,-3.76387E+14,0.367975967,-0.971757538,-0.013882513,1.45758E+14,2.61145E+14,1.29196E+13,-1.56382E+14,-0.18545465,-0.377503243,-0.889596748,-0.074207589,0.035445516,0.550577974,-0.027171279,-0.024920621,0.073605399,3.12,1
25198,-1.59036E+14,1.03939E+14,-1.91336E+14,6.18597E+14,-1.2538E+14,-4.02703E+14,-1.38978E+14,1.06623E+14,-2.84495E+14,-9.66879E+14,7.39442E+14,-1.16356E+14,1.42328E+14,-8.64046E+14,-0.674719539,-7.69557E+14,-1.36841E+14,-4.77741E+14,1.26834E+14,1.50157E+14,1.57755E+14,-1.28014E+14,-0.601294527,0.040403921,0.995501971,-0.273742712,1.68814E+12,0.5278308,99.99,1
